FFD,8858,39,4,,loadfactor,,,,,,,,,,,,,,,,,,,,
FFD,8859,54.4,11,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
FFD,8876,11,1,,FFD,39,54.4,11,46.75,46.75,46.75,53.57,40.55,49.17,52.5,56.25,40.85,43.33,46.67,56,43,36,54,53.75,42.33
FFD,8877,46.75,6,,BFD,39,54.4,11,46.75,46.75,46.75,53.57,40.55,49.17,52.5,56.25,40.85,43.33,46.67,56,43,36,54,53.75,42.33
FFD,8878,46.75,6,,MFK,45,45.33,11,46.75,46.75,46.75,53.43,49.44,49.17,52.5,45.2,44.5,43.67,47,37.33,43,36,35.67,43.2,42
FFD,8879,46.75,6,,,,,,,,,,,,,,,,,,,,,,
FFD,8880,53.57,8,,,,,,,,,,,,,,,,,,,,,,
FFD,8882,40.55,4,,itemnum,,,,,,,,,,,,,,,,,,,,
FFD,8881,49.17,7,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
FFD,8883,52.5,8,,FFD,4,11,1,6,6,6,8,4,7,8,8,5,8,9,9,10,7,11,7,8
FFD,8885,56.25,8,,BFD,4,11,1,6,6,6,8,4,7,8,8,5,8,9,9,10,7,11,7,8
FFD,8884,40.85,5,,MFK,4,9,1,6,6,6,8,5,7,8,6,5,8,9,6,10,7,7,5,8
FFD,8887,43.33,8,,,,,,,,,,,,,,,,,,,,,,
FFD,8886,46.67,9,,,,,,,,,,,,,,,,,,,,,,
FFD,8889,56,9,,,,,,,,,,,,,,,,,,,,,,
FFD,8891,43,10,,,,,,,,,,,,,,,,,,,,,,
FFD,8892,36,7,,,,,,,,,,,,,,,,,,,,,,
FFD,8893,54,11,,,,,,,,,,,,,,,,,,,,,,
FFD,8890,53.75,7,,,,,,,,,,,,,,,,,,,,,,
FFD,8888,42.33,8,,,,,,,,,,,,,,,,,,,,,,
BFD,8858,39,4,,,,,,,,,,,,,,,,,,,,,,
BFD,8859,54.4,11,,,,,,,,,,,,,,,,,,,,,,
BFD,8876,11,1,,,,,,,,,,,,,,,,,,,,,,
BFD,8877,46.75,6,,,,,,,,,,,,,,,,,,,,,,
BFD,8878,46.75,6,,,,,,,,,,,,,,,,,,,,,,
BFD,8879,46.75,6,,,,,,,,,,,,,,,,,,,,,,
BFD,8880,53.57,8,,,,,,,,,,,,,,,,,,,,,,
BFD,8882,40.55,4,,,,,,,,,,,,,,,,,,,,,,
BFD,8881,49.17,7,,,,,,,,,,,,,,,,,,,,,,
BFD,8883,52.5,8,,,,,,,,,,,,,,,,,,,,,,
BFD,8885,56.25,8,,,,,,,,,,,,,,,,,,,,,,
BFD,8884,40.85,5,,,,,,,,,,,,,,,,,,,,,,
BFD,8887,43.33,8,,,,,,,,,,,,,,,,,,,,,,
BFD,8886,46.67,9,,,,,,,,,,,,,,,,,,,,,,
BFD,8889,56,9,,,,,,,,,,,,,,,,,,,,,,
BFD,8891,43,10,,,,,,,,,,,,,,,,,,,,,,
BFD,8892,36,7,,,,,,,,,,,,,,,,,,,,,,
BFD,8893,54,11,,,,,,,,,,,,,,,,,,,,,,
BFD,8890,53.75,7,,,,,,,,,,,,,,,,,,,,,,
BFD,8888,42.33,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8858,45,4,,,,,,,,,,,,,,,,,,,,,,
MFK,8859,45.33,9,,,,,,,,,,,,,,,,,,,,,,
MFK,8876,11,1,,,,,,,,,,,,,,,,,,,,,,
MFK,8877,46.75,6,,,,,,,,,,,,,,,,,,,,,,
MFK,8878,46.75,6,,,,,,,,,,,,,,,,,,,,,,
MFK,8879,46.75,6,,,,,,,,,,,,,,,,,,,,,,
MFK,8880,53.43,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8882,49.44,5,,,,,,,,,,,,,,,,,,,,,,
MFK,8881,49.17,7,,,,,,,,,,,,,,,,,,,,,,
MFK,8883,52.5,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8885,45.2,6,,,,,,,,,,,,,,,,,,,,,,
MFK,8884,44.5,5,,,,,,,,,,,,,,,,,,,,,,
MFK,8887,43.67,8,,,,,,,,,,,,,,,,,,,,,,
MFK,8886,47,9,,,,,,,,,,,,,,,,,,,,,,
MFK,8889,37.33,6,,,,,,,,,,,,,,,,,,,,,,
MFK,8891,43,10,,,,,,,,,,,,,,,,,,,,,,
MFK,8892,36,7,,,,,,,,,,,,,,,,,,,,,,
MFK,8893,35.67,7,,,,,,,,,,,,,,,,,,,,,,
MFK,8890,43.2,5,,,,,,,,,,,,,,,,,,,,,,
MFK,8888,42,8,,,,,,,,,,,,,,,,,,,,,,